"fixed_effects","response","mAIC","pseudoR2","delta_mAIC"
"size_lat","trip_duration",442.01,0.45,0
"size_lat_yr","trip_duration",443.98,0.451,1.97000000000003
"size","trip_duration",444.6,0.41,2.59000000000003
"size_lon","trip_duration",446.47,0.411,4.46000000000004
"size_yr","trip_duration",446.49,0.411,4.48000000000002
"lat","trip_duration",447.87,0.379,5.86000000000001
"size_lon_yr","trip_duration",448.35,0.412,6.34000000000003
"lat_yr","trip_duration",449.3,0.384,7.29000000000002
"lon","trip_duration",451.9,0.338,9.88999999999999
"yr","trip_duration",452.47,0.332,10.46
"lon_yr","trip_duration",452.97,0.348,10.96
"none","trip_duration",454.01,0.272,12
"size","maximum_distance",655.24,0.632,0
"size_lat","maximum_distance",655.42,0.642,0.17999999999995
"size_lon","maximum_distance",656.41,0.636,1.16999999999996
"size_yr","maximum_distance",656.62,0.635,1.38
"size_lat_yr","maximum_distance",656.71,0.646,1.47000000000003
"size_lon_yr","maximum_distance",657.7,0.64,2.46000000000004
"lat","maximum_distance",668.74,0.545,13.5
"lat_yr","maximum_distance",670.64,0.546,15.4
"lon","maximum_distance",671.34,0.526,16.1
"yr","maximum_distance",671.78,0.523,16.54
"none","maximum_distance",673.16,0.481,17.92
"lon_yr","maximum_distance",673.17,0.527,17.9299999999999
